timestamp,region,service_type,demand,capacity_allocation,cost_usd,service_availability_pct,is_holiday,economic_index,market_growth_rate,cloud_adoption_index
01-01-2024,East Asia,Compute,562,754,148.49,99.88,1,93.51,3.38,63.64
01-01-2024,East Asia,Storage,798,1062,183.12,99.56,1,93.51,3.38,63.64
01-01-2024,East Asia,Network,351,408,112.47,99.54,1,93.51,3.38,63.64
01-01-2024,South India,Compute,693,931,192.24,99.38,1,93.51,3.38,63.64
01-01-2024,South India,Storage,406,524,112.29,99.31,1,93.51,3.38,63.64
01-01-2024,South India,Network,431,505,112.35,98.9,1,93.51,3.38,63.64
01-01-2024,Japan East,Compute,418,485,,98.64,1,93.51,3.38,63.64
01-01-2024,Japan East,Storage,626,836,149.79,99.23,1,93.51,3.38,63.64
01-01-2024,Japan East,Network,,835,221.4,99.83,1,93.51,3.38,63.64
01-01-2024,Southeast Asia,Compute,496,596,97.21,99.37,1,93.51,3.38,63.64
01-01-2024,Southeast Asia,Storage,516,568,149.17,99.15,1,93.51,3.38,63.64
01-01-2024,Southeast Asia,Network,378,443,57.19,99.61,1,93.51,3.38,63.64
01-01-2024,Korea Central,Compute,334,371,59.46,99.62,1,93.51,3.38,63.64
01-01-2024,Korea Central,Storage,263,338,69.69,98.89,1,93.51,3.38,63.64
01-01-2024,Korea Central,Network,664,850,115.31,99.54,1,93.51,3.38,63.64
01-01-2024,Central India,Compute,,716,139.36,99.48,1,93.51,3.38,63.64
01-01-2024,Central India,Storage,726,947,194.6,99.49,1,93.51,3.38,63.64
01-01-2024,Central India,Network,321,428,70.35,99.14,1,93.51,3.38,63.64
02-01-2024,East Asia,Compute,403,461,114.76,99.18,0,94.49,4.51,67.42
02-01-2024,East Asia,Storage,221,251,46.26,98.87,0,94.49,4.51,67.42
02-01-2024,East Asia,Network,697,769,107.41,99.65,0,94.49,4.51,67.42
02-01-2024,South India,Compute,555,688,167.13,99.45,0,94.49,4.51,67.42
02-01-2024,South India,Storage,561,720,186.15,98.85,0,94.49,4.51,67.42
02-01-2024,South India,Network,,412,81.44,98.95,0,94.49,4.51,67.42
02-01-2024,Japan East,Compute,434,521,88.86,99.36,0,94.49,4.51,67.42
02-01-2024,Japan East,Storage,626,755,190.64,99.87,0,94.49,4.51,67.42
02-01-2024,Japan East,Network,617,826,206.23,99.39,0,94.49,4.51,67.42
02-01-2024,Southeast Asia,Compute,249,312,43.08,98.68,0,94.49,4.51,67.42
02-01-2024,Southeast Asia,Storage,695,867,159.17,98.85,0,94.49,4.51,67.42
02-01-2024,Southeast Asia,Network,697,922,190.93,99.32,0,94.49,4.51,67.42
02-01-2024,Korea Central,Compute,768,1023,136.65,98.61,0,94.49,4.51,67.42
02-01-2024,Korea Central,Storage,259,319,77.69,99.06,0,94.49,4.51,67.42
02-01-2024,Korea Central,Network,524,616,124.65,99.4,0,94.49,4.51,67.42
02-01-2024,Central India,Compute,,,191.54,98.66,0,94.49,4.51,67.42
02-01-2024,Central India,Storage,577,635,133.18,99.48,0,94.49,4.51,67.42
02-01-2024,Central India,Network,381,,67.32,98.53,0,94.49,4.51,
03-01-2024,East Asia,Compute,296,343,82.69,98.77,0,95.42,3.59,85.38
03-01-2024,East Asia,Storage,485,610,161.23,98.68,0,95.42,3.59,85.38
03-01-2024,East Asia,Network,371,425,82.65,99.43,0,95.42,3.59,85.38
03-01-2024,South India,Compute,203,258,65.96,98.69,0,95.42,3.59,85.38
03-01-2024,South India,Storage,787,1050,155.98,99.35,0,95.42,3.59,85.38
03-01-2024,South India,Network,621,765,150.44,99.66,0,95.42,3.59,85.38
03-01-2024,Japan East,Compute,292,356,93.6,99.72,0,95.42,3.59,85.38
03-01-2024,Japan East,Storage,554,698,132.36,99.4,0,95.42,3.59,85.38
03-01-2024,Japan East,Network,373,485,102.83,,0,95.42,3.59,85.38
03-01-2024,Southeast Asia,Compute,391,510,89.86,98.67,0,95.42,3.59,85.38
03-01-2024,Southeast Asia,Storage,530,670,170.64,99.29,0,95.42,3.59,85.38
03-01-2024,Southeast Asia,Network,720,830,132.98,99.79,0,95.42,3.59,85.38
03-01-2024,Korea Central,Compute,797,1098,223.86,98.68,0,95.42,3.59,85.38
03-01-2024,Korea Central,Storage,715,873,157.77,99.68,0,95.42,3.59,85.38
03-01-2024,Korea Central,Network,215,241,43.96,98.89,0,95.42,3.59,85.38
03-01-2024,Central India,Compute,346,474,92.74,99.95,0,95.42,3.59,85.38
03-01-2024,Central India,Storage,462,517,137.15,99.64,0,95.42,3.59,85.38
03-01-2024,Central India,Network,219,290,51.9,99.58,0,95.42,3.59,85.38
04-01-2024,East Asia,Compute,327,396,63.82,98.73,0,94.41,4.31,66.18
04-01-2024,East Asia,Storage,323,396,49.36,98.94,0,94.41,4.31,66.18
04-01-2024,East Asia,Network,360,456,82.45,99.59,0,94.41,4.31,66.18
04-01-2024,South India,Compute,791,880,120.41,99.35,0,94.41,4.31,66.18
04-01-2024,South India,Storage,334,434,75.51,98.6,0,94.41,4.31,66.18
04-01-2024,South India,Network,416,524,,98.56,0,94.41,4.31,66.18
04-01-2024,Japan East,Compute,718,969,156.72,99.54,0,94.41,4.31,66.18
04-01-2024,Japan East,Storage,488,592,80.81,99.9,0,94.41,4.31,66.18
04-01-2024,Japan East,Network,362,426,121.49,99.56,0,94.41,4.31,66.18
04-01-2024,Southeast Asia,Compute,501,674,165.06,98.52,0,94.41,4.31,66.18
04-01-2024,Southeast Asia,Storage,726,1010,117.91,99.53,0,94.41,4.31,66.18
04-01-2024,Southeast Asia,Network,693,889,120.35,99.54,0,94.41,4.31,66.18
04-01-2024,Korea Central,Compute,738,903,219.43,98.95,0,94.41,4.31,66.18
04-01-2024,Korea Central,Storage,773,965,183.35,98.82,0,94.41,4.31,66.18
04-01-2024,Korea Central,Network,585,794,134.02,98.57,0,,4.31,66.18
04-01-2024,Central India,Compute,682,807,226.08,99.67,0,94.41,4.31,66.18
04-01-2024,Central India,Storage,621,753,183.81,98.78,0,94.41,4.31,66.18
04-01-2024,Central India,Network,659,825,145.8,99.62,0,94.41,4.31,66.18
05-01-2024,East Asia,Compute,724,899,242.63,99.96,1,96.16,2.39,79.79
05-01-2024,East Asia,Storage,280,314,95.09,99.55,1,96.16,2.39,79.79
05-01-2024,East Asia,Network,233,258,45.75,99.55,1,,2.39,79.79
05-01-2024,South India,Compute,810,1114,,99.82,1,96.16,2.39,79.79
05-01-2024,South India,Storage,371,418,80.45,99.13,1,96.16,2.39,79.79
05-01-2024,South India,Network,761,906,204.1,,1,96.16,,79.79
05-01-2024,Japan East,Compute,452,585,83.91,99.29,1,96.16,2.39,79.79
05-01-2024,Japan East,Storage,,454,89.97,98.88,1,96.16,2.39,79.79
05-01-2024,Japan East,Network,407,560,72.31,98.62,1,96.16,2.39,79.79
05-01-2024,Southeast Asia,Compute,298,386,52.1,99.4,1,96.16,2.39,79.79
05-01-2024,Southeast Asia,Storage,373,504,124.77,98.56,1,96.16,2.39,79.79
05-01-2024,Southeast Asia,Network,363,445,103.81,99.78,1,96.16,2.39,79.79
05-01-2024,Korea Central,Compute,,1072,263.01,99.61,1,96.16,2.39,79.79
05-01-2024,Korea Central,Storage,764,1051,241.92,99.87,1,96.16,2.39,79.79
05-01-2024,Korea Central,Network,562,662,103.55,99.94,1,96.16,2.39,79.79
05-01-2024,Central India,Compute,806,1113,,99.38,1,96.16,2.39,79.79
05-01-2024,Central India,Storage,751,969,219.81,99.68,1,96.16,2.39,79.79
05-01-2024,Central India,Network,411,477,104.97,99.97,1,96.16,2.39,79.79
06-01-2024,East Asia,Compute,371,426,71.68,98.8,1,97.58,2.57,66.72
06-01-2024,East Asia,Storage,780,1066,180.87,99.54,1,97.58,2.57,66.72
06-01-2024,East Asia,Network,466,633,125.14,99.8,1,,2.57,66.72
06-01-2024,South India,Compute,623,742,161.98,99.19,1,97.58,2.57,66.72
06-01-2024,South India,Storage,695,944,175.8,98.82,1,97.58,,66.72
06-01-2024,South India,Network,642,,155.45,98.97,1,97.58,2.57,66.72
06-01-2024,Japan East,Compute,701,937,174.06,99.43,1,97.58,2.57,66.72
06-01-2024,Japan East,Storage,394,528,71.62,98.85,1,97.58,2.57,66.72
06-01-2024,Japan East,Network,551,650,124.51,99.67,1,97.58,2.57,66.72
06-01-2024,Southeast Asia,Compute,398,506,123.78,99.52,1,97.58,2.57,66.72
06-01-2024,Southeast Asia,Storage,411,489,112.88,99.54,1,97.58,2.57,66.72
06-01-2024,Southeast Asia,Network,232,,35.64,99.19,1,97.58,2.57,66.72
06-01-2024,Korea Central,Compute,557,717,142.36,99.93,1,97.58,2.57,66.72
06-01-2024,Korea Central,Storage,810,969,194.18,98.57,1,97.58,2.57,66.72
06-01-2024,Korea Central,Network,476,577,155.13,99.09,1,97.58,2.57,66.72
06-01-2024,Central India,Compute,630,743,115.09,99.09,1,97.58,2.57,66.72
06-01-2024,Central India,Storage,600,771,145.24,99.23,1,97.58,2.57,66.72
06-01-2024,Central India,Network,320,401,103.15,99.02,1,97.58,2.57,66.72
07-01-2024,East Asia,Compute,812,1056,196.33,99.21,1,95.41,3.5,80.14
07-01-2024,East Asia,Storage,231,261,35.81,99.35,1,95.41,3.5,80.14
07-01-2024,East Asia,Network,351,386,58.7,99.14,1,95.41,3.5,80.14
07-01-2024,South India,Compute,435,594,85.26,99.8,1,95.41,,80.14
07-01-2024,South India,Storage,558,771,116.84,98.64,1,95.41,3.5,80.14
07-01-2024,South India,Network,684,,135.44,99.31,1,95.41,3.5,80.14
07-01-2024,Japan East,Compute,268,353,46.17,99.93,1,95.41,3.5,80.14
07-01-2024,Japan East,Storage,532,693,85.12,99.77,1,95.41,3.5,80.14
07-01-2024,Japan East,Network,308,390,74.13,98.61,1,95.41,3.5,80.14
07-01-2024,Southeast Asia,Compute,687,920,192.1,98.91,1,95.41,3.5,80.14
07-01-2024,Southeast Asia,Storage,580,641,,99.43,1,95.41,3.5,80.14
07-01-2024,Southeast Asia,Network,695,801,231.62,99.72,1,95.41,3.5,80.14
07-01-2024,Korea Central,Compute,661,784,120.31,98.58,1,95.41,3.5,80.14
07-01-2024,Korea Central,Storage,337,391,78.31,98.77,1,95.41,3.5,80.14
07-01-2024,Korea Central,Network,229,253,69.49,99.64,1,95.41,3.5,80.14
07-01-2024,Central India,Compute,709,914,,99.06,1,95.41,3.5,80.14
07-01-2024,Central India,Storage,303,351,104.83,98.7,1,95.41,3.5,80.14
07-01-2024,Central India,Network,450,628,143.43,98.77,1,95.41,3.5,80.14
08-01-2024,East Asia,Compute,756,1052,198.55,99.7,0,96.58,2.61,
08-01-2024,East Asia,Storage,720,896,178.54,99.78,0,96.58,2.61,78.56
08-01-2024,East Asia,Network,338,436,93.96,98.51,0,96.58,2.61,78.56
08-01-2024,South India,Compute,321,371,,99.05,0,96.58,2.61,78.56
08-01-2024,South India,Storage,335,445,81.13,99.79,0,96.58,2.61,78.56
08-01-2024,South India,Network,410,546,74.42,99.79,0,96.58,2.61,78.56
08-01-2024,Japan East,Compute,,718,168.49,98.85,0,96.58,2.61,
08-01-2024,Japan East,Storage,505,687,92.75,98.92,0,96.58,2.61,78.56
08-01-2024,Japan East,Network,527,716,120.49,99.25,0,96.58,2.61,78.56
08-01-2024,Southeast Asia,Compute,662,788,170.5,98.94,0,96.58,2.61,78.56
08-01-2024,Southeast Asia,Storage,596,787,207.56,99.27,0,96.58,2.61,78.56
08-01-2024,Southeast Asia,Network,524,681,80.82,99.47,0,96.58,2.61,78.56
08-01-2024,Korea Central,Compute,776,984,,98.6,0,96.58,2.61,78.56
08-01-2024,Korea Central,Storage,601,736,163.82,99.36,0,96.58,2.61,78.56
08-01-2024,Korea Central,Network,214,251,59.64,98.55,0,96.58,2.61,78.56
08-01-2024,Central India,Compute,592,803,168.35,99.59,0,96.58,2.61,78.56
08-01-2024,Central India,Storage,713,823,216.49,99.93,0,96.58,2.61,78.56
08-01-2024,Central India,Network,449,628,71.65,99.35,0,96.58,2.61,78.56
09-01-2024,East Asia,Compute,430,479,138.44,99.04,0,96.5,4.54,73.89
